date,open,high,low,close,volume,MACD,RSI
2020-12-18,535.160,536.200,522.820,530.880,8551616,-0.924,49.449
2020-12-21,522.990,534.800,518.700,533.290,7558304,-0.670,50.737
2020-12-22,532.770,533.490,522.155,531.130,4657872,-0.635,49.520
2020-12-23,530.240,531.000,520.200,520.370,4478570,-1.459,43.871
2020-12-24,521.490,525.300,517.550,519.750,2447088,-2.138,43.562
2020-12-28,522.500,522.500,510.527,516.000,5314141,-2.944,41.655
2020-12-29,517.000,522.900,513.690,517.730,4259304,-3.404,42.897
2020-12-30,519.612,528.550,515.870,525.830,5634929,-3.080,48.432
2020-12-31,525.460,526.045,516.600,522.200,4810611,-3.080,46.268
2021-01-04,524.170,546.100,518.500,524.540,14016045,-2.859,47.885
2021-01-05,523.990,537.740,523.480,536.190,8068998,-1.723,55.125
2021-01-06,528.900,529.800,503.440,504.580,14510578,-3.336,39.208
2021-01-07,518.700,535.110,515.460,533.760,11537037,-2.233,52.766
2021-01-08,534.500,536.840,521.680,531.070,7313215,-1.558,51.623
2021-01-11,536.750,558.440,534.500,544.860,12975720,0.088,56.791
2021-01-12,550.100,550.180,533.800,539.390,7286944,0.941,54.313
2021-01-13,539.599,545.000,535.400,541.270,5250711,1.748,55.039
2021-01-14,543.000,543.990,527.220,528.010,7078007,1.302,49.110
2021-01-15,529.120,533.010,513.940,514.380,6948332,-0.148,43.877
2021-01-19,520.650,523.759,513.760,521.010,5654672,-0.755,46.844
2021-01-20,524.470,537.220,522.270,534.630,6464272,-0.135,52.410
2021-01-21,536.744,559.974,530.120,554.700,8458490,1.954,59.190
2021-01-22,549.604,553.669,545.090,548.500,6170464,3.073,56.512
2021-01-25,551.270,553.140,529.459,546.130,6277158,3.726,55.478
2021-01-26,543.218,545.790,535.500,537.410,4099510,3.500,51.729
2021-01-27,529.200,529.310,511.750,516.710,9281821,1.631,44.110
2021-01-28,519.850,533.590,518.420,522.040,5707905,0.573,46.303
2021-01-29,523.000,533.390,516.460,519.590,6788801,-0.457,45.421
2021-02-01,522.134,530.830,516.110,529.480,5430108,-0.470,49.596
2021-02-02,535.950,542.880,531.420,542.270,5510957,0.545,54.449
2021-02-03,545.440,557.270,540.660,541.220,6200032,1.251,53.990
2021-02-04,541.240,546.940,533.514,546.570,5033477,2.216,56.026
2021-02-05,549.000,549.490,541.830,543.640,4228841,2.713,54.601
2021-02-08,549.089,578.950,549.089,577.550,10865275,5.777,65.532
2021-02-09,573.625,583.330,568.900,570.530,7189015,7.552,62.193
2021-02-10,578.530,596.200,573.655,590.570,12133808,10.454,67.313
2021-02-11,599.210,610.890,597.000,610.030,11270694,14.162,71.367
2021-02-12,602.000,611.645,591.000,598.450,9368937,15.982,66.112
2021-02-16,602.570,614.900,598.000,613.210,8048989,18.403,69.223
2021-02-17,606.840,608.941,591.200,596.240,6892557,18.736,62.158
2021-02-18,587.640,594.930,583.000,593.160,5852020,18.538,60.942
2021-02-19,600.980,607.080,593.868,597.060,6793103,18.482,61.957
2021-02-22,590.990,605.330,573.000,574.230,8147151,16.407,53.238
2021-02-23,563.010,569.550,535.580,565.680,9794510,13.912,50.379
2021-02-24,564.910,580.270,550.240,579.960,11207977,12.938,54.750
2021-02-25,561.817,574.990,528.650,532.300,20612901,8.226,41.584
2021-02-26,550.100,554.180,534.440,548.580,12523310,5.739,46.331
2021-03-01,555.000,557.000,542.130,553.670,8829575,4.131,47.761
2021-03-02,556.000,556.820,535.840,536.250,6602853,1.434,43.491
2021-03-03,537.050,538.060,511.950,512.190,9439757,-2.614,38.387
2021-03-04,512.030,519.000,483.350,494.810,14333629,-7.143,35.175
2021-03-05,502.000,502.000,467.170,498.460,13570991,-10.318,36.379
2021-03-08,498.000,498.850,462.660,463.730,13577792,-15.459,30.563
2021-03-09,485.210,504.670,482.370,500.810,13047199,-16.352,41.345
2021-03-10,513.620,519.200,498.300,498.730,9609414,-17.032,40.961
2021-03-11,518.000,521.850,509.380,519.740,7497857,-15.694,46.381
2021-03-12,505.930,515.550,503.600,514.240,6099099,-14.906,45.211
2021-03-15,514.590,528.270,510.685,527.650,5563011,-13.049,48.615
2021-03-16,534.260,540.500,524.670,531.650,6803240,-11.126,49.620
2021-03-17,521.590,538.130,519.580,533.650,6096605,-9.334,50.146
2021-03-18,525.460,527.360,508.682,508.900,7354702,-9.797,44.028
2021-03-19,510.000,516.860,504.500,513.830,7480174,-9.655,45.455
2021-03-22,516.510,535.780,516.270,527.450,7445077,-8.347,49.302
2021-03-23,530.170,533.780,520.850,522.830,5551152,-7.596,48.064
2021-03-24,526.050,526.365,505.470,505.720,6146015,-8.286,43.688
2021-03-25,499.980,508.590,490.880,501.410,7378614,-9.076,42.635
2021-03-26,502.180,514.250,494.940,513.570,9099224,-8.621,46.549
2021-03-29,512.810,522.500,508.000,517.930,6837997,-7.819,47.921
2021-03-30,513.678,519.010,508.200,514.870,5005062,-7.346,47.009
2021-03-31,520.620,538.820,519.300,533.930,7869439,-5.370,53.009
2021-04-01,542.890,554.800,540.450,552.470,7700236,-2.283,57.992
2021-04-05,554.700,560.558,549.320,559.500,6386448,0.723,59.735
2021-04-06,559.987,562.165,550.945,554.460,4790547,2.668,57.881
2021-04-07,555.230,569.740,548.460,565.740,6206308,5.061,60.813
2021-04-08,570.110,578.860,569.958,572.680,6100315,7.432,62.541
2021-04-09,568.560,576.320,567.000,576.000,4779237,9.470,63.373
2021-04-12,571.590,614.100,565.570,608.180,21154686,13.525,70.267
2021-04-13,609.260,628.000,605.030,627.270,15833328,18.071,73.459
2021-04-14,625.000,628.818,609.100,611.080,9573489,20.136,66.900
2021-04-15,626.500,648.566,625.260,645.710,14444667,24.286,72.546
2021-04-16,642.124,646.630,634.610,636.240,7877624,26.506,69.076
2021-04-19,621.462,632.300,609.320,614.290,9662234,26.192,61.708
2021-04-20,612.930,619.880,598.520,606.840,7942294,25.053,59.393
2021-04-21,604.750,614.500,604.090,614.420,4961604,24.480,60.996
2021-04-22,615.000,617.543,591.340,594.010,6933963,22.124,54.729
2021-04-23,597.375,613.395,596.010,610.610,5680837,21.350,58.467
2021-04-26,607.402,619.160,605.000,619.120,4939035,21.179,60.278
2021-04-27,623.140,626.820,614.180,615.270,4092914,20.497,59.024
2021-04-28,614.580,621.290,608.621,611.070,5218390,19.394,57.616
2021-04-29,616.000,617.460,602.860,612.990,4298733,18.461,58.108
2021-04-30,606.980,614.600,599.880,600.380,5033290,16.515,53.700
2021-05-03,605.000,609.870,591.500,593.470,5085732,14.250,51.399
2021-05-04,585.490,585.500,560.410,574.050,10072196,10.764,45.498
2021-05-05,588.360,592.540,575.500,578.340,7285256,8.253,46.947
2021-05-06,579.810,582.850,568.724,580.940,4510197,6.399,47.852
2021-05-07,592.330,598.830,586.868,592.490,5728703,5.794,51.786
2021-05-10,591.490,592.240,570.000,570.630,6692162,3.511,44.884
2021-05-11,553.000,574.190,550.000,572.250,7095509,1.811,45.464
2021-05-12,560.380,570.410,548.370,550.560,6999557,-1.271,39.474
2021-05-13,561.350,563.230,538.360,546.300,6678707,-4.012,38.404
2021-05-14,555.600,573.124,549.940,569.720,6431462,-4.245,46.924
2021-05-17,566.280,566.770,554.140,566.620,5423830,-4.627,46.016
2021-05-18,570.680,576.170,560.160,560.630,4656257,-5.351,44.237
